Name;OLED1_Kontakt2U_K12_U0.00e+000V 1;OLED1_Kontakt2U_K12_U5.00e-001V 1;OLED1_Kontakt2U_K12_U1.00e+000V 1;OLED1_Kontakt2U_K12_U1.50e+000V 1;OLED1_Kontakt2U_K12_U2.00e+000V 1;OLED1_Kontakt2U_K12_U2.50e+000V 1;OLED1_Kontakt2U_K12_U3.00e+000V 1;OLED1_Kontakt2U_K12_U3.50e+000V 1;OLED1_Kontakt2U_K12_U4.00e+000V 1;OLED1_Kontakt2U_K12_U4.50e+000V 1;OLED1_Kontakt2U_K12_U5.00e+000V 1;OLED1_Kontakt2U_K12_U5.50e+000V 1;OLED1_Kontakt2U_K12_U6.00e+000V 1;OLED1_Kontakt2U_K12_U6.50e+000V 1;OLED1_Kontakt2U_K12_U7.00e+000V 1;OLED1_Kontakt2U_K12_U7.50e+000V 1;OLED1_Kontakt2U_K12_U8.00e+000V 1;OLED1_Kontakt2U_K12_U8.50e+000V 1;OLED1_Kontakt2U_K12_U9.00e+000V 1;OLED1_Kontakt2U_K12_U9.50e+000V 1;OLED1_Kontakt2U_K12_U1.00e+001V 1;Name;OLED1_Kontakt2U_K12 1;OLED1_Kontakt2U_K12_U0.00e+000V_Leuchtdichte 1;OLED1_Kontakt2U_K12_U0.00e+000V_Lichtstrom 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEx 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEy 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEz 1;OLED1_Kontakt2U_K12_U0.00e+000V_Beleuchtungsstärke 1;OLED1_Kontakt2U_K12_U0.00e+000V_BeleuchtungsstärkeVIS 1;OLED1_Kontakt2U_K12_U0.00e+000V_PeakX 1;OLED1_Kontakt2U_K12_U0.00e+000V_PeakY 1;
Wellenlänge (m);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Spannung (V);Stromdichte (mA/cm^2);Leuchtdichte (cd/m^2);Lichtstrom (lm);CIEx (1);CIEy (1);CIEz (1);Beleuchtungsstärke (W/m^2);Beleuchtungsstärke VIS (W/m^2);Peak X (m);Peak Y (W/m^2);
3.00000e-007;-2.42127e+007;-1.59523e+006;6.64757e+007;1.96455e+007;4.38582e+007;-6.35038e+007;-9.52556e+007;4.56719e+006;-3.17519e+007;-0.00000e+000;-5.13974e+007;-1.21064e+007;-4.56719e+006;7.53916e+006;-4.84254e+007;-1.96455e+007;-3.06789e+008;-1.05767e+008;-1.51181e+010;-2.42127e+007;3.17519e+007;0.00000e+000;6.47939e-004;6.09922e+000;6.32322e-004;6.92465e+000;2.21900e+001;-2.81146e+001;8.21599e-002;-7.58581e-002;3.03000e-007;9.61965e+007;
3.01000e-007;-3.68825e+007;1.05604e+005;3.67769e+007;-1.05604e+005;5.50070e+007;-7.36594e+007;-5.54294e+007;-1.85469e+007;3.67769e+007;-7.36594e+007;-3.66713e+007;1.05604e+005;1.05604e+005;5.52182e+007;-7.32370e+007;-3.69881e+007;-3.13396e+008;-1.87581e+007;-1.38685e+010;3.66713e+007;-1.84413e+007;5.00000e-001;2.46564e-001;2.61492e+000;2.71095e-004;1.63492e-001;9.39465e-002;7.42561e-001;2.24984e-001;-2.89817e-002;3.03000e-007;7.31234e+007;
3.02000e-007;4.49236e+007;2.40244e+007;3.75991e+007;8.30599e+007;2.40244e+007;8.25228e+007;-5.84984e+007;-1.04496e+007;-1.41119e+007;5.84984e+007;-3.81363e+007;-6.78738e+006;-0.00000e+000;2.03621e+007;-2.08993e+007;-2.08993e+007;-2.06844e+008;-1.04496e+007;-1.26028e+010;3.12512e+006;-0.00000e+000;1.00000e+000;6.00273e-001;-5.85806e+000;-6.07320e-004;5.76310e-001;-5.49360e-001;9.73050e-001;-1.08381e-001;-2.73277e-001;3.03000e-007;9.61965e+007;
3.03000e-007;9.61965e+007;7.31234e+007;9.61965e+007;1.33734e+008;9.81486e+007;4.45781e+007;-3.52015e+006;7.66436e+007;3.20655e+007;8.01637e+007;5.16184e+007;8.01637e+007;4.10579e+007;7.66436e+007;4.10579e+007;5.70907e+007;-1.70888e+008;6.41310e+007;-1.14744e+010;3.55856e+007;4.80982e+007;1.50000e+000;1.09012e+000;2.10150e+001;2.17868e-003;3.34998e-001;2.86501e-001;3.78501e-001;7.64354e-001;2.61599e-001;3.03000e-007;1.33734e+008;
3.04000e-007;3.21141e+007;3.71140e+007;1.72857e+007;2.45717e+006;-5.43996e+007;-2.47426e+007;-4.93998e+007;-1.23713e+007;9.91415e+006;-2.71998e+007;-4.20283e+007;4.44855e+007;-1.72857e+007;3.95711e+007;-4.44855e+007;-2.96570e+007;-2.42170e+008;-1.48285e+007;-1.03872e+010;-1.72857e+007;-4.20283e+007;2.00000e+000;1.68182e+000;-1.19271e+000;-1.23652e-004;2.13955e-001;-2.97602e-002;8.15806e-001;6.64456e-001;3.58552e-001;3.03000e-007;9.81486e+007;
3.05000e-007;-2.70051e+006;1.97612e+007;-1.49745e+007;5.17964e+007;1.09237e+007;-8.83750e+006;-8.83750e+006;-8.83750e+006;-1.49745e+007;3.06849e+007;2.45480e+007;-1.49745e+007;1.09237e+007;-2.11115e+007;3.43648e+006;1.97612e+007;-1.92089e+008;-1.01877e+007;-9.38366e+009;1.84110e+007;2.58982e+007;2.50000e+000;3.05667e+000;1.00268e+001;1.03951e-003;2.90730e-001;1.53279e-001;5.55992e-001;4.04940e-001;3.35240e-001;3.02000e-007;8.25228e+007;
3.06000e-007;4.96799e+007;5.95671e+007;6.94543e+007;9.76713e+007;4.71471e+007;1.15757e+007;2.06187e+007;8.44070e+007;9.51385e+007;5.95671e+007;8.27185e+007;7.19871e+007;2.23072e+007;4.46143e+007;7.11428e+007;3.38829e+007;-1.25888e+008;9.68270e+007;-8.29063e+009;7.02985e+007;8.01857e+007;3.00000e+000;8.28576e+000;8.17383e+000;8.47402e-004;2.16117e-001;1.35058e-001;6.48825e-001;1.64685e+001;1.62531e+001;7.95000e-007;7.27004e+008;
3.07000e-007;7.70462e+006;2.73074e+007;-3.51109e+006;1.12157e+007;3.43296e+007;6.82430e+005;-3.64758e+007;1.89203e+007;7.70462e+006;1.54092e+007;-1.82379e+007;7.70462e+006;1.18981e+007;-3.29647e+007;-7.02219e+006;-5.18850e+007;-1.64725e+008;-1.89203e+007;-7.32601e+009;-3.71582e+007;-1.05333e+007;3.50000e+000;1.56042e+001;9.58696e+003;9.93905e-001;4.64635e-001;5.26219e-001;9.14666e-003;6.69737e+001;6.68904e+001;5.50000e-007;6.46150e+008;
3.08000e-007;-2.38810e+007;-3.00344e+007;-6.39268e+007;-3.69691e+007;-2.38810e+007;-5.69920e+007;-9.70379e+007;-3.00344e+007;-1.69462e+007;-5.77734e+007;-3.38924e+007;-5.39154e+007;-4.00458e+007;-5.08387e+007;-4.69806e+007;-8.08730e+007;-1.77911e+008;-5.39154e+007;-6.44894e+009;-7.08616e+007;-4.08272e+007;4.00000e+000;3.02000e+001;1.85063e+004;1.91860e+000;4.63676e-001;5.27483e-001;8.84089e-003;1.29219e+002;1.29081e+002;5.51000e-007;1.25420e+009;
